Variable,Treated mean,Treated SD,Control mean,Control SD,SMD,p-value
age,25.816216216216215,7.155019274786176,28.03030303030303,10.786653017464364,-0.24190362292609974,0.0029142744026021106
educ,10.345945945945946,2.0106502564056283,10.235431235431236,2.8552384408759477,0.04475508511087087,0.5847976601883131
black,0.8432432432432433,0.3645579071767287,0.20279720279720279,0.4025521483506082,1.6677188107185172,1.2058895618696863e-58
hispan,0.05945945945945946,0.23712437052638075,0.14219114219114218,0.34965383524393834,-0.2769395965062943,0.0007042070579970867
married,0.1891891891891892,0.39272167914923606,0.5128205128205128,0.5004191868512791,-0.7194919624729043,1.4612776761359052e-16
nodegree,0.7081081081081081,0.4558665770543018,0.5967365967365967,0.49112552223179784,0.23504820466514967,0.006982225071602653
re74,2095.573688648649,4886.620353151076,5619.2365063869465,6788.750796455377,-0.5957515910049503,1.7478314133663847e-12
re75,1532.0553137837837,3219.2508699215996,2466.484443123543,3291.996183310652,-0.2870021087425329,0.0011500847871299268
u74,0.7081081081081081,0.4558665770543017,0.26107226107226106,0.43973204128266946,0.998133119107748,3.239734718236382e-25
u75,0.6,0.49122738912451425,0.3123543123543124,0.46399454693994513,0.6020147789702781,5.921859932796177e-11
re78,6349.143530270271,7867.402217734687,6984.169742307692,7294.161790868405,-0.0837080938639525,0.3490766555566698
